,id,title,keywords
0,16vdean,Tears for Singapore women’s 4x100m medley squad after disqualification denies team Asian Games bronze,wen final jing ting games hangzhou china delight turned despair women m medley relay team touching home sep learn soon
0,16vdd9q,"8 years' jail, 6 strokes for drug abuser who stepped on wife's back till her 'bones cracked'",muhammad zaki money account heard victim wife taken point ms arianna documents home later called continued drugs bank argument stepped
0,16vblr0,Electricity and gas tariffs to increase in fourth quarter due to higher costs ,kwh gst electricity cents gas quarter tariff energy cent sp group increase rate cost fuel costs average compared current households
0,16van6k,"PM Lee highlights importance of high-quality, authoritative mainstream media at Zaobao centennial celebrations ",zaobao news chinese quality singaporeans lee continue need high influential media continues daily sph pm landscape government support authoritative information
0,16v9oea,LTA reallocates 300 more COEs in Oct to meet anticipated demand for smaller cars ,coes demand car evs ves period supply quota lta coe smaller tender exercises tenders august september announcement current high expect
0,16v8jee,Over US$2.8 million in cryptocurrencies moved from Vang Shuiming’s account while he was remanded,million vang worth teh assets bail wife account io court bank cryptocurrencies withdrawn remanded affidavit charges china arrested cad accused
0,16vezkf,Three Arrows Capital co-founder Zhu apprehended in Singapore ,arrows capital teneo order reuters zhu crypto granted bankruptcy sept su founders bankrupt hedge fund apprehended changi airport company liquidators
0,16vfc8r,"Congestion at land checkpoints during long weekends, holidays not caused by Singapore: ICA",ica land malaysia woodlands heavy congestion traffic tuas media comments improve travellers cause checkpoints long weekends holiday seasons immigration authority
0,16vgisx,Final supermoon of 2023 illuminates Singapore sky on Mid-Autumn Festival,moon kannan supermoon pm harvest photos celebrating mid autumn festival treat seen sep night coinciding known mooncake fourth began rising
0,16vrums,Commentary: Expectations around hongbao make wedding banquets unpleasant,notes drawn netizens guest money guests woman malaysia went viral tiktok september sharing received hand wedding struck level detail offered
0,16vs9dh,Singapore may see haze if wind direction changes; recent increase in hotspots over Sumatra,sep psi nea hour hotspots range air quality deteriorate wind direction sumatra past press release moderate dense detected expected added
0,16vu6zs,Developing geothermal energy from nothing: Scientists on unearthing a potential energy source in Singapore,heat team granite study researchers fossil natural sembawang away hot spring underground find simpang high resource university ntu tumcreate located
0,16vwev7,"Record number of marriages, drop in Singaporean births in 2022",citizen marriages number report grooms record annual population increase marriage brides births fell brief released sep according published national talent
0,16vxy0r,"Mother, 39, fights with woman, 33, in Chai Chee over whether son, 8, is too old to use women's toilet",tan w women toilet colleague fine boy lift old drove car charge criminal use fight right son floor force physical
0,16vybfx,Angela Lee announces her retirement from MMA ,lee mma atomweight event champion world cage fans face martial arts fighter angela retirement fight night old fought lost title
0,16vzq84,"When a child mistreats or abuses animals, is it a sign of something more troubling?",cases cat animal child old children time nephew youth case spca number age abuse young chasing help lives boy community
0,16w0tnc,About 50 people evacuated after fire at Hougang flat ,fire scdf people evacuated flat hougang block second storey affected smoke caught afternoon civil defence force alerted street response queries
0,16w521t,Singapore lose Asian Games medal streak in table tennis but vow to rebound and improve ,players men asian women competition doubles zeng hard terms quality short performances table tennis pang singles round mixed chew medals
0,16w7fuk,"Hawkers at reopened Tekka Market and Food Centre welcome improved drainage, bird netting ",issue new stall nejamdeen tekka market business drainage system goh food centre happy repairs completed floor tanjong pagar changes time
0,16w7lcs,Singapore’s Shanti Pereira clinches silver in the 100m at Asian Games,pereira m asian games time heats medal clocked hangzhou china silver women sep personal win ge bahrain saeed alkhaldi finals
0,16w8dk0,Don’t hang up yet: Public payphone remains a cherished service for some people ,payphone charlie mobile shop customers service number recipient rang nestled corner bukit purmei provision relic iconic orange belonging old owner
0,16w8o31,Animal cruelty and welfare cases probed by SPCA at 11-year high ,cases spca july june shanmugam volunteers pandemic animals cruelty investigated animal welfare period yearly gala dinner increase legislation asked veterinary
0,16wacod,Sprint queen Shanti Pereira takes 100m silver to end Singapore's 49-year wait for Asian Games athletics medal,pereira m asian games time medal heats china clocked ge saeed hangzhou silver women sep personal gold saad finished win
0,16wd9tp,Missing Singaporean who fell off ship in June 'presumed dead' by US Coast Guard: Sister,family furqan muhammad coast guard waters jun missing ship presumed dead according facebook sister mohamed rashid reported fell bulk carrier
0,16wmlcs,Commentary: SingPost is giving households stamps – but who even sends mail these days?,mail stamps send households people insurance things bills singpost recently raise postage rates standard regular cent oct help manage increased
